2025-09-01,4272.5,Maintenance Cost,expense,training
2025-07-05,29744.12,Marketing Expense,expense,travel
2025-10-05,3400.1,Software Subscription,income,maintenance
2025-12-27,34824.27,Travel Expense,income,travel
2025-11-13,9323.85,Travel Expense,expense,marketing
2025-08-18,15367.66,Training Income,income,travel
2025-09-05,15230.73,Client Payment,expense,software
2025-08-02,18108.08,Travel Expense,expense,maintenance
2025-12-23,28634.45,Maintenance Cost,expense,training
2025-07-26,7002.12,Training Income,income,training
2025-10-20,41349.65,Office Supplies,income,operations
2025-12-23,11389.31,Marketing Expense,expense,travel
2025-08-07,39144.95,Office Supplies,expense,sales
2025-12-07,47872.65,Travel Expense,income,operations
2025-09-23,40236.36,Travel Expense,expense,marketing
2025-07-18,23752.64,Training Income,expense,operations
2025-10-21,38686.15,Consulting Fee,expense,marketing
2025-10-06,30557.52,Maintenance Cost,income,operations
2025-09-01,31713.09,Software Subscription,expense,sales
2025-11-04,43392.26,Utility Bill,income,training
2025-11-11,20210.12,Product Sale,expense,maintenance
2025-11-12,26944.19,Travel Expense,income,sales
2025-09-21,23615.62,Consulting Fee,expense,marketing
2025-12-02,41210.14,Maintenance Cost,expense,software
2025-10-18,28933.32,Consulting Fee,income,utilities
2025-12-09,9390.31,Training Income,income,sales
2025-12-19,43429.77,Product Sale,income,software
2026-01-16,33557.81,Maintenance Cost,expense,utilities
2025-09-07,33091.96,Training Income,income,software
2025-11-09,33159.85,Travel Expense,expense,software
2025-09-02,48883.93,Marketing Expense,income,software
2025-11-13,43554.13,Utility Bill,expense,travel
2025-09-29,41473.52,Marketing Expense,income,sales
2025-12-27,21678.41,Consulting Fee,expense,utilities
2025-10-27,33243.65,Product Sale,expense,travel
2025-08-03,22621.47,Maintenance Cost,income,software
2026-01-05,4143.86,Training Income,expense,sales
2025-10-03,5918.93,Maintenance Cost,expense,training
2025-12-15,28864.93,Utility Bill,expense,training
2026-01-11,37717.99,Maintenance Cost,expense,marketing
2025-11-27,44899.84,Utility Bill,income,utilities
2025-07-06,23110.29,Utility Bill,expense,maintenance
2025-07-29,37297.72,Consulting Fee,income,travel
2025-07-15,19010.27,Software Subscription,income,sales
2025-12-29,5635.29,Product Sale,expense,utilities
2025-09-26,10613.57,Client Payment,income,marketing
2025-12-16,33895.99,Marketing Expense,income,utilities
2025-11-22,8791.31,Consulting Fee,income,sales
